week_start,ticker,entry_date,exit_date,entry_price,exit_price,stop_price,target_price,shares,risk_per_share,pnl_dollars,r_multiple,exit_reason,ret_1w,ret_3w,rsi_14,atr_14,signal_score
2021-02-08,EL,2021-02-08,2021-02-12,280.5302,289.9597,267.6463,306.2981,2,12.8839,18.86,0.7319,time,0.1528,0.091153,64.5921,8.5893,0.974384
2021-02-08,MGM,2021-02-08,2021-02-12,34.9649,35.8941,33.0256,38.8435,18,1.9393,16.72,0.4791,time,0.19923,0.13111,67.3964,1.2929,0.969951
2021-02-08,TPR,2021-02-08,2021-02-12,37.6376,38.2717,35.4122,42.0883,15,2.2254,9.51,0.2849,time,0.187539,0.102466,64.6314,1.4836,0.964039
2021-02-08,WYNN,2021-02-08,2021-02-12,114.9648,117.7321,107.8345,129.2256,4,7.1304,11.07,0.3881,time,0.175424,0.073303,65.1294,4.7536,0.957635
2021-02-08,ALGN,2021-02-08,2021-02-12,622.8122,608.9704,582.5758,703.2851,1,40.2364,-13.84,-0.344,time,0.180955,0.118654,61.1488,26.8243,0.947783
2021-02-22,LH,2021-02-22,2021-02-26,209.6338,205.9021,200.488,227.9254,3,9.1458,-11.2,-0.408,time,0.038658,0.120979,69.8839,6.0972,0.956198
2021-02-22,MOS,2021-02-22,2021-02-26,29.1491,29.3706,26.9495,33.5484,15,2.1996,3.32,0.1007,time,0.044165,0.068725,63.0873,1.4664,0.950413
2021-02-22,NTAP,2021-02-22,2021-02-23,70.6306,67.9857,68.0538,75.7841,13,2.5768,-34.38,-1.0264,stop,0.031666,0.058605,68.2528,1.7179,0.919835
2021-02-22,CCI,2021-02-22,2021-02-25,165.175,159.9899,160.15,175.225,6,5.025,-31.11,-1.0319,stop,0.023457,0.048504,63.1115,3.35,0.897521
2021-02-22,PH,2021-02-22,2021-02-26,280.0097,286.673,267.9069,304.2155,2,12.1029,13.33,0.5506,time,0.024577,0.053438,65.5941,8.0686,0.895868
2021-03-01,SLB,2021-03-01,2021-03-05,28.7888,29.0409,26.9095,32.5473,18,1.8793,4.54,0.1342,time,0.06853,0.12495,66.147,1.2529,0.962112
2021-03-01,EOG,2021-03-01,2021-03-05,65.5255,74.5054,60.5144,75.5476,6,5.0111,53.88,1.792,time,0.032795,0.123369,62.0345,3.3407,0.946584
2021-03-01,BKR,2021-03-01,2021-03-04,24.7747,23.4077,23.4312,27.4619,26,1.3436,-35.54,-1.0174,stop,0.046154,0.094812,68.0723,0.8957,0.944099
2021-03-01,MGM,2021-03-01,2021-03-04,38.6386,36.1531,36.1893,43.5372,14,2.4493,-34.8,-1.0148,stop,0.037617,0.163485,63.0147,1.6329,0.904969
2021-03-01,HAL,2021-03-01,2021-03-05,22.3523,23.8162,20.5963,25.8645,19,1.7561,27.81,0.8336,time,0.080693,0.142334,67.1068,1.1707,0.877019
2021-03-08,STLD,2021-03-08,2021-03-12,45.8058,49.1408,43.0083,51.4008,12,2.7975,40.02,1.1922,time,0.099567,0.178958,68.4575,1.865,0.978659
2021-03-08,EOG,2021-03-08,2021-03-12,75.5755,74.925,69.913,86.9005,6,5.6625,-3.9,-0.1149,time,0.155205,0.250503,68.7604,3.775,0.959146
2021-03-08,TRGP,2021-03-08,2021-03-12,34.7247,34.7352,32.3525,39.469,14,2.3721,0.15,0.0044,time,0.117038,0.135766,68.993,1.5814,0.918902
2021-03-08,KMI,2021-03-08,2021-03-12,16.016,16.3337,15.3346,17.3789,51,0.6814,16.2,0.4662,time,0.079592,0.080327,63.6605,0.4543,0.89939
2021-03-08,C,2021-03-08,2021-03-12,71.1411,75.1048,67.735,77.9532,10,3.4061,39.64,1.1637,time,0.066029,0.111234,68.8356,2.2707,0.889024
2021-03-15,GM,2021-03-15,2021-03-19,59.3693,59.7602,55.675,66.7579,9,3.6943,3.52,0.1058,time,0.102512,0.127259,68.3468,2.4629,0.973481
2021-03-15,UAL,2021-03-15,2021-03-19,58.3082,60.7092,53.2833,68.3582,6,5.025,14.41,0.4778,time,0.114212,0.171976,64.6379,3.35,0.967956
2021-03-15,F,2021-03-15,2021-03-16,13.4034,12.5337,12.5462,15.1177,40,0.8571,-34.79,-1.0146,stop,0.08965,0.154577,68.2713,0.5714,0.965193
2021-03-15,LUV,2021-03-15,2021-03-19,62.112,60.9889,58.3803,69.5756,9,3.7318,-10.11,-0.301,time,0.072207,0.155652,68.5273,2.4879,0.922652
2021-03-15,JBL,2021-03-15,2021-03-19,48.4584,50.9989,45.9727,53.4298,14,2.4857,35.57,1.0221,time,0.116467,0.086644,63.6536,1.6571,0.919337
2021-03-22,NXPI,2021-03-22,2021-03-25,203.3131,186.9699,187.157,235.6253,2,16.1561,-32.69,-1.0116,stop,0.101215,0.106765,56.6444,10.7707,0.980226
2021-03-22,FDX,2021-03-22,2021-03-23,279.8596,265.9776,266.2439,307.091,2,13.6157,-27.76,-1.0196,stop,0.034715,0.098546,61.4418,9.0771,0.951412
2021-03-22,GPC,2021-03-22,2021-03-26,116.9568,118.4315,111.6768,127.5168,6,5.28,8.85,0.2793,time,0.023737,0.113526,66.4353,3.52,0.934463
2021-03-22,BEN,2021-03-22,2021-03-25,29.8999,28.2366,28.2649,33.1699,21,1.635,-34.93,-1.0173,stop,0.036074,0.141383,65.614,1.09,0.918644
2021-03-22,META,2021-03-22,2021-03-26,290.7405,282.737,276.0244,320.1726,2,14.7161,-16.01,-0.5439,time,0.080887,0.126116,64.7265,9.8107,0.910734
2021-03-29,PHM,2021-03-29,2021-04-01,53.1731,53.4265,50.1163,59.2867,11,3.0568,2.79,0.0829,time,0.074097,0.150415,66.7309,2.0379,0.964706
2021-03-29,DHI,2021-03-29,2021-04-01,89.9499,90.959,84.8134,100.2227,6,5.1364,6.05,0.1965,time,0.074375,0.137198,66.8228,3.4243,0.956656
2021-03-29,EQT,2021-03-29,2021-03-31,19.5695,17.9755,17.9935,22.7217,22,1.5761,-35.07,-1.0114,stop,0.067136,0.096218,64.0964,1.0507,0.952322
2021-03-29,ROK,2021-03-29,2021-04-01,273.273,263.6298,263.8937,292.0316,3,9.3793,-28.93,-1.0281,stop,0.05904,0.080841,68.7381,6.2529,0.920124
2021-03-29,KLAC,2021-03-29,2021-04-01,318.0477,346.9427,295.0013,364.1406,1,23.0464,28.89,1.2538,time,0.092393,0.081353,68.9232,15.3643,0.915789
2021-04-05,TRMB,2021-04-05,2021-04-09,83.093,80.3196,79.5573,90.1644,9,3.5357,-24.96,-0.7844,time,0.11689,0.0877,67.6063,2.3571,0.98377
2021-04-05,SWKS,2021-04-05,2021-04-09,191.6014,188.5413,181.5707,211.6629,3,10.0307,-9.18,-0.3051,time,0.090455,0.080288,63.6849,6.6871,0.962304
2021-04-05,ON,2021-04-05,2021-04-09,43.3733,42.917,40.4162,49.2876,11,2.9571,-5.02,-0.1543,time,0.123069,0.105412,62.0482,1.9714,0.932461
2021-04-05,MPWR,2021-04-05,2021-04-09,374.2439,376.4931,350.5492,421.6332,1,23.6946,2.25,0.0949,time,0.10839,0.088626,64.6361,15.7964,0.931937
2021-04-05,TER,2021-04-05,2021-04-09,130.6906,132.9269,122.4266,147.2184,4,8.2639,8.95,0.2706,time,0.152765,0.131302,66.7225,5.5093,0.925654
2021-04-12,DASH,2021-04-12,2021-04-16,138.138,149.3405,126.228,161.958,2,11.91,22.41,0.9406,time,0.05528,0.075639,55.8957,7.94,0.953605
2021-04-12,ZBH,2021-04-12,2021-04-16,163.9405,166.7069,159.3032,173.2151,7,4.6373,19.36,0.5966,time,0.05925,0.06665,69.6625,3.0915,0.949843
2021-04-12,TECH,2021-04-12,2021-04-16,101.8643,104.5329,96.9113,111.7702,7,4.9529,18.68,0.5388,time,0.052046,0.092863,64.9518,3.302,0.921003
2021-04-12,CRWD,2021-04-12,2021-04-16,201.7315,214.9848,187.3046,230.5853,2,14.4269,26.51,0.9186,time,0.083676,0.065559,57.3089,9.6179,0.915361
2021-04-12,INTC,2021-04-12,2021-04-13,68.2682,65.1815,65.2468,74.3111,11,3.0214,-33.95,-1.0216,stop,0.057475,0.071081,64.1688,2.0143,0.896552
2021-04-19,PPG,2021-04-19,2021-04-23,167.7075,174.4753,161.4922,180.1382,5,6.2154,33.84,1.0889,time,0.112581,0.098924,67.8076,4.1436,0.973856
2021-04-19,BG,2021-04-19,2021-04-20,83.4333,80.5509,80.6316,89.0369,12,2.8018,-34.59,-1.0288,stop,0.052486,0.084566,63.1356,1.8679,0.935294
2021-04-19,NTAP,2021-04-19,2021-04-21,77.4874,74.6955,74.7703,82.9217,12,2.7171,-33.5,-1.0275,stop,0.051841,0.105877,65.0101,1.8114,0.926144
2021-04-19,SHW,2021-04-19,2021-04-23,266.0458,273.6461,258.2754,281.5865,4,7.7704,30.4,0.9781,time,0.045556,0.083265,64.6394,5.1802,0.922876
2021-04-19,REGN,2021-04-19,2021-04-23,503.513,486.1,486.5866,537.3659,2,16.9264,-34.83,-1.0287,stop,0.057727,0.084405,66.6537,11.2843,0.921569
2021-04-26,ALB,2021-04-26,2021-04-30,162.9128,168.0018,153.7885,181.1613,3,9.1243,15.27,0.5578,time,0.060514,0.06959,60.548,6.0829,0.967584
2021-04-26,WAB,2021-04-26,2021-04-29,85.2752,82.3813,82.4638,90.8981,12,2.8114,-34.73,-1.0293,stop,0.059546,0.081276,63.7547,1.8743,0.93578
2021-04-26,DHI,2021-04-26,2021-04-30,98.6085,98.1917,94.6528,106.5199,8,3.9557,-3.33,-0.1054,time,0.019093,0.078638,63.6053,2.6371,0.919266
2021-04-26,TT,2021-04-26,2021-04-27,176.2761,171.7852,171.9572,184.914,8,4.3189,-35.93,-1.0398,stop,0.019598,0.05978,68.6025,2.8793,0.886239
2021-04-26,HPE,2021-04-26,2021-04-30,16.4064,15.9376,15.9536,17.312,77,0.4528,-36.09,-1.0352,stop,0.029467,0.04586,66.0377,0.3019,0.882569
2021-05-03,WTW,2021-05-03,2021-05-07,259.5693,269.7999,251.0225,276.6629,4,8.5468,40.92,1.197,time,0.111512,0.078673,65.6578,5.6979,0.980952
2021-05-03,AON,2021-05-03,2021-05-07,251.7215,258.2615,244.5183,266.1279,4,7.2032,26.16,0.9079,time,0.089003,0.060928,65.5487,4.8021,0.970868
2021-05-03,APA,2021-05-03,2021-05-07,20.3103,21.5684,18.9935,22.9439,26,1.3168,32.71,0.9554,time,0.10011,0.158749,69.8413,0.8779,0.936134
2021-05-03,TAP,2021-05-03,2021-05-06,55.2952,59.7205,53.0527,59.7802,15,2.2425,66.38,1.9733,target,0.051272,0.099,65.7914,1.495,0.933333
2021-05-03,CINF,2021-05-03,2021-05-07,114.7546,120.2296,111.4964,121.2711,10,3.2582,54.75,1.6804,time,0.030358,0.072224,69.2498,2.1721,0.932773
2021-05-10,CNC,2021-05-10,2021-05-14,70.1801,69.1308,66.9744,76.5915,10,3.2057,-10.49,-0.3273,time,0.141075,0.084514,62.6813,2.1371,0.984918
2021-05-10,EXE,2021-05-10,2021-05-14,49.6796,48.8211,47.2755,54.488,14,2.4042,-12.02,-0.3571,time,0.078999,0.077108,67.9372,1.6028,0.968525
2021-05-10,HAL,2021-05-10,2021-05-14,23.1431,23.0369,21.7695,25.8903,25,1.3736,-2.65,-0.0773,time,0.173313,0.109232,65.0794,0.9157,0.963279
2021-05-10,COP,2021-05-10,2021-05-11,58.2682,55.4345,55.49,63.8246,12,2.7782,-34.0,-1.02,stop,0.116543,0.117636,69.2022,1.8521,0.943607
2021-05-10,OXY,2021-05-10,2021-05-11,27.7377,25.8722,25.8981,31.417,19,1.8396,-35.45,-1.0141,stop,0.080047,0.123462,65.7111,1.2264,0.935082
2021-05-17,STX,2021-05-17,2021-05-19,97.3573,91.5956,91.6873,108.6973,6,5.67,-34.57,-1.0162,stop,0.070009,0.098934,56.5643,3.78,0.989851
2021-05-17,SCHW,2021-05-17,2021-05-19,73.073,70.0061,70.0762,79.0666,11,2.9968,-33.74,-1.0234,stop,0.020906,0.091004,68.1939,1.9979,0.951045
2021-05-17,NEM,2021-05-17,2021-05-21,71.3212,73.4565,68.5291,76.9055,12,2.7921,25.62,0.7647,time,0.050795,0.076537,69.356,1.8614,0.944478
2021-05-17,LYV,2021-05-17,2021-05-21,85.3052,89.1707,80.5234,94.8688,7,4.7818,27.06,0.8084,time,0.073037,0.049156,55.3571,3.1879,0.93194
2021-05-17,TMUS,2021-05-17,2021-05-18,140.2901,135.1502,135.2855,150.2994,6,5.0046,-30.84,-1.027,stop,0.017251,0.061506,64.5016,3.3364,0.918806
2021-05-24,TGT,2021-05-24,2021-05-28,226.5663,226.6931,218.8992,241.9006,4,7.6671,0.51,0.0165,time,0.065969,0.086027,64.7637,5.1114,0.963959
2021-05-24,HRL,2021-05-24,2021-05-28,49.4594,48.4915,47.9305,52.5173,22,1.5289,-21.29,-0.6331,time,0.06097,0.069697,67.0558,1.0193,0.954822
2021-05-24,TKO,2021-05-24,2021-05-28,57.4874,55.7842,55.2835,61.8953,15,2.2039,-25.55,-0.7728,time,0.071894,0.044275,57.0698,1.4693,0.926904
2021-05-24,LYV,2021-05-24,2021-05-28,89.7497,90.0199,84.1332,100.9825,6,5.6164,1.62,0.0481,time,0.040326,0.090132,60.4467,3.7443,0.917259
2021-05-24,ARES,2021-05-24,2021-05-28,55.4254,55.1248,53.3361,59.6039,16,2.0893,-4.81,-0.1439,time,0.049418,0.04722,62.1123,1.3929,0.88731
2021-06-07,HAL,2021-06-07,2021-06-11,24.7047,24.006,23.5272,27.0597,29,1.1775,-20.26,-0.5934,time,0.097691,0.105051,64.4599,0.785,0.960933
2021-06-07,APA,2021-06-07,2021-06-10,23.7938,22.4652,22.4877,26.4059,26,1.3061,-34.54,-1.0172,stop,0.12434,0.148039,62.5676,0.8707,0.951603
2021-06-07,EBAY,2021-06-07,2021-06-11,65.3753,67.0629,62.8703,70.3853,13,2.505,21.94,0.6737,time,0.096118,0.110487,67.1104,1.67,0.949271
2021-06-07,PSX,2021-06-07,2021-06-11,91.9118,90.879,88.6493,98.4368,10,3.2625,-10.33,-0.3166,time,0.083758,0.084529,60.2941,2.175,0.947522
2021-06-07,SLB,2021-06-07,2021-06-10,36.5565,34.7325,34.7672,40.1351,19,1.7893,-34.66,-1.0194,stop,0.162093,0.146725,67.6442,1.1929,0.941108
2021-06-14,CRWD,2021-06-14,2021-06-18,231.7315,244.6651,218.6747,257.845,2,13.0568,25.87,0.9906,time,0.11757,0.13351,67.7242,8.7045,0.959509
2021-06-14,TKO,2021-06-14,2021-06-17,62.4224,58.6512,58.7099,69.8474,9,3.7125,-33.94,-1.0158,stop,0.100651,0.144975,66.3827,2.475,0.955828
2021-06-14,NOW,2021-06-14,2021-06-18,100.1,106.5072,96.8431,106.6139,10,3.2569,64.07,1.9673,target,0.081103,0.057054,67.1226,2.1713,0.955215
2021-06-14,EW,2021-06-14,2021-06-18,100.0099,100.6093,97.1503,105.7292,12,2.8596,7.19,0.2096,time,0.042975,0.077478,68.6895,1.9064,0.944785
