year,total_trades,win_rate,avg_r,profit_factor,total_pnl,equity_start,equity_end,annual_return_pct
2021,215,0.4605,-0.0432,0.8782,-344.2,10000.0,9655.79,-3.4421
2022,225,0.4489,-0.0567,0.8688,-360.44,9655.79,9295.36,-3.7328
2023,225,0.4933,0.0962,1.2459,672.55,9295.36,9967.87,7.2349
2024,240,0.4958,0.0315,1.0925,255.46,9967.87,10223.33,2.5628
2025,240,0.5125,0.0085,1.0327,93.45,10223.33,10316.87,0.915
2026,40,0.475,0.1037,1.4297,218.53,10316.87,10535.38,2.118
