Ticker,Shares,Entry Price,Stop Price,Target Price,Date,Open,High,Low,Close,Adj Close,Volume,20d Avg Volume,Return 1W,Return 3W,RSI 14,ATR 14,Price,ATR %,Eligible,Raw Score,Signal Score,Direction
EXPE,2,251.54,230.77,293.07,2026-03-05,235.0,252.23,235.0,251.54,251.54,8058400.0,4063260.0,0.15,0.08,59.7,13.84,251.54,0.06,True,0.12,0.12,LONG
FDS,3,224.92,209.57,255.61,2026-03-05,224.61,230.03,220.0,224.92,224.92,982300.0,1266750.0,0.05,0.16,65.81,10.23,224.92,0.05,True,0.09,0.09,LONG
PAYC,5,136.66,127.78,154.43,2026-03-05,134.24,138.38,134.87,136.66,136.66,1919143.0,2658777.15,0.05,0.15,66.77,5.92,136.66,0.04,True,0.09,0.09,LONG
ADBE,3,281.74,267.42,310.38,2026-03-05,275.4,285.36,275.4,281.74,281.74,5810400.0,5893575.0,0.09,0.1,65.44,9.55,281.74,0.03,True,0.09,0.09,LONG
MOH,4,147.71,136.09,170.96,2026-03-05,148.8,150.78,145.36,147.71,147.71,603691.0,2322384.55,0.01,0.2,66.04,7.75,147.71,0.05,True,0.09,0.09,LONG
