Ticker,Shares,Entry Price,Stop Price,Target Price,Date,Open,High,Low,Close,Adj Close,Volume,20d Avg Volume,Return 1W,Return 3W,RSI 14,ATR 14,Price,ATR %,Eligible,Raw Score,Signal Score,Direction
AKAM,7,111.76,104.65,125.98,2026-02-13,104.49,113.5,102.87,111.76,111.76,7333500.0,4221525.0,0.18,0.18,67.12,4.74,111.76,0.04,True,0.18,0.18,LONG
Q,5,111.69,102.57,129.93,2026-02-13,109.04,113.88,108.07,111.69,111.69,2743800.0,2559005.0,0.14,0.16,63.54,6.08,111.69,0.05,True,0.15,0.15,LONG
VST,4,171.49,159.8,194.86,2026-02-13,162.4,171.66,161.5,171.49,171.49,5964700.0,6316130.0,0.15,0.07,60.76,7.79,171.49,0.05,True,0.12,0.12,LONG
LYV,6,158.27,151.12,172.57,2026-02-13,156.25,159.8,154.01,158.27,158.27,2539600.0,2795065.0,0.12,0.08,65.53,4.77,158.27,0.03,True,0.11,0.11,LONG
AMT,5,192.1,183.88,208.54,2026-02-13,188.67,192.21,188.1,192.1,192.1,3413100.0,3510975.0,0.12,0.07,64.13,5.48,192.1,0.03,True,0.1,0.1,LONG
